Timestamp,Glucose Level (mmol/L)
2023-01-01 08:00:00,7.9
2023-01-01 08:00:01,7.5
2023-01-01 08:00:02,4.9
2023-01-01 08:00:03,7.8
2023-01-01 08:00:04,7.1
2023-01-01 08:00:05,5.0
2023-01-01 08:00:06,8.0
2023-01-01 08:00:07,6.0
2023-01-01 08:00:08,6.5
2023-01-01 08:00:09,5.7
2023-01-01 08:00:10,7.8
2023-01-01 08:00:11,4.3
2023-01-01 08:00:12,7.8
2023-01-01 08:00:13,4.1
2023-01-01 08:00:14,5.7
2023-01-01 08:00:15,7.0
2023-01-01 08:00:16,4.4
2023-01-01 08:00:17,6.5
2023-01-01 08:00:18,7.2
2023-01-01 08:00:19,7.0
2023-01-01 08:00:20,5.6
2023-01-01 08:00:21,5.7
2023-01-01 08:00:22,5.1
2023-01-01 08:00:23,4.4
2023-01-01 08:00:24,4.3
2023-01-01 08:00:25,5.0
2023-01-01 08:00:26,7.5
2023-01-01 08:00:27,7.6
2023-01-01 08:00:28,7.8
2023-01-01 08:00:29,5.2
2023-01-01 08:00:30,6.6
2023-01-01 08:00:31,5.5
2023-01-01 08:00:32,7.0
2023-01-01 08:00:33,5.7
2023-01-01 08:00:34,5.8
2023-01-01 08:00:35,4.8
2023-01-01 08:00:36,4.8
2023-01-01 08:00:37,7.4
2023-01-01 08:00:38,5.4
2023-01-01 08:00:39,7.9
2023-01-01 08:00:40,5.6
2023-01-01 08:00:41,4.5
2023-01-01 08:00:42,5.1
2023-01-01 08:00:43,5.3
2023-01-01 08:00:44,7.4
2023-01-01 08:00:45,4.3
2023-01-01 08:00:46,7.9
2023-01-01 08:00:47,6.6
2023-01-01 08:00:48,4.1
2023-01-01 08:00:49,5.2
2023-01-01 08:00:50,5.4
2023-01-01 08:00:51,7.7
2023-01-01 08:00:52,5.2
2023-01-01 08:00:53,7.6
2023-01-01 08:00:54,6.8
2023-01-01 08:00:55,5.1
2023-01-01 08:00:56,4.4
2023-01-01 08:00:57,4.7
2023-01-01 08:00:58,4.9
2023-01-01 08:00:59,7.3
2023-01-01 08:01:00,6.6
2023-01-01 08:01:01,5.0
2023-01-01 08:01:02,6.8
2023-01-01 08:01:03,6.2
2023-01-01 08:01:04,4.5
2023-01-01 08:01:05,5.0
2023-01-01 08:01:06,5.5
2023-01-01 08:01:07,6.4
2023-01-01 08:01:08,7.8
2023-01-01 08:01:09,8.0
2023-01-01 08:01:10,7.8
2023-01-01 08:01:11,4.0
